word,root,rule,base
aezanezana,ezanezana,a~,ezanezana
alepaka,lepaka,a~,lepaka
atane,tane,a~,tane
aezinezina,ezinezina,a~,ezinezina
aletra,letra,a~,letra
atangazona,tangazona,a~,tangazona
afadiditra,diditra,a~,fadiditra
aletse,letse,a~,letse
atangerina,tangerina,a~,tangerina
afaditra,faditra,a~,faditra
aletsy,letsy,a~,letsy
atangy,tangy,a~,tangy
afafa,fafa,a~,fafa
aleve,leve,a~,leve
atangidingidina,idina,a~,tangidingidina
afafy,fafy,a~,fafy
alevy,levy,a~,levy
atangirika,tangirika,a~,tangirika
afahana,fahana,a~,fahana
alevilevy,levy,a~,levilevy
atangitrika,tangitrika,a~,tangitrika
afahatra,fahatra,a~,fahatra
alevina,levina,a~,levina
atangizina,tangizina,a~,tangizina
afahy,fahy,a~,fahy
alevona,levona,a~,levona
atango,tango,a~,tango
aliba,liba,a~,liba
atangolika,tangolika,a~,tangolika
afahitra,fahitra,a~,fahitra
aloa,loa,a~,loa
atangoloaka,tangoloaka,a~,tangoloaka
afaho,faho,a~,faho
aloaka,loaka,a~,loaka
atangongo,tangongo,a~,tangongo
afaingoka,faingoka,a~,faingoka
aloatra,loatra,a~,loatra
atangoro,tangoro,a~,tangoro
afaitra,faitra,a~,faitra
alobaloba,lobaloba,a~,lobaloba
atangorona,horona,a~,tangorona
afalapala,falapala,a~,falapala
alobolobo,lobolobo,a~,lobolobo
atanika,tanika,a~,tanika
afaly,faly,a~,faly
aloditra,loditra,a~,loditra
atanina,tanina,a~,tanina
afalo,falo,a~,falo
alofika,lofika,a~,lofika
atanjaka,tanjaka,a~,tanjaka
afandraka,fandraka,a~,fandraka
alofo,lofo,a~,lofo
atanjake,tanjake,a~,tanjake
afandrika,fandrika,a~,fandrika
aloha,loha,a~,loha
atanjife,tanjife,a~,tanjife
afandrotra,fandrotra,a~,fandrotra
aloka,loka,a~,loka
afangaro,haro,a~,fangaro
aloko,loko,a~,loko
atankosina,tankosina,a~,tankosina
aloloha,loloha,a~,loloha
atanondrika,tanondrika,a~,tanondrika
afangoka,fangoka,a~,fangoka
alomano,lomano,a~,lomano
atanontanona,tanontanona,a~,tanontanona
afangopangotra,fangotra,a~,fangopangotra
alomboka,lomboka,a~,lomboka
atantana,tantana,a~,tantana
afanjike,fanjike,a~,fanjike
alona,lona,a~,lona
atantavana,tantavana,a~,tantavana
afantaka,fantaka,a~,fantaka
alonaka,lonaka,a~,lonaka
atante,tante,a~,tante
afantoka,fantoka,a~,fantoka
alongilongy,longilongy,a~,longilongy
atanteraka,tanteraka,a~,tanteraka
afantoke,fantoke,a~,fantoke
alonika,lonika,a~,lonika
atanty,tanty,a~,tanty
afantsana,fantsana,a~,fantsana
alonilony,lonilony,a~,lonilony
atao,tao,a~,tao
afantsika,fantsika,a~,fantsika
alonjehitra,lonjehitra,a~,lonjehitra
atapy,tapy,a~,tapy
afantsike,fantsike,a~,fantsike
alonjilonjy,lonjilonjy,a~,lonjilonjy
atapitapy,tapitapy,a~,tapitapy
afantsitsitra,fantsitsitra,a~,fantsitsitra
alonjo,lonjo,a~,lonjo
atapoaka,poaka,a~,tapoaka
afantsona,fantsona,a~,fantsona
alopilopy,lopilopy,a~,lopilopy
ataratra,taratra,a~,taratra
afaoka,faoka,a~,faoka
alotsaka,lotsaka,a~,lotsaka
atarazo,tarazo,a~,tarazo
afara,fara,a~,fara
alozoka,lozoka,a~,lozoka
atarika,tarika,a~,tarika
afaraingo,faraingo,a~,faraingo
amailaka,mailaka,a~,mailaka
atarike,tarike,a~,tarike
afarango,farango,a~,farango
amaimbo,imbo,a~,maimbo
atataka,tataka,a~,tataka
afararemotra,fararemotra,a~,fararemotra
amainty,inty,a~,mainty
atatana,tatana,a~,tatana
afaratsaka,faratsaka,a~,faratsaka
amaitso,itso,a~,maitso
atatao,tatao,a~,tatao
afaritra,faritra,a~,faritra
amandina,mandina,a~,mandina
atataro,tataro,a~,tataro
afaritsoka,ritsoka,a~,faritsoka
amanga,manga,a~,manga
atatatata,tatatata,a~,tatatata
afatopatotra,fatotra,a~,fatopatotra
amangana,mangana,a~,mangana
atatatra,tatatra,a~,tatatra
afatotra,fatotra,a~,fatotra
amanja,manja,a~,manja
atatavoka,tatavoka,a~,tatavoka
afatra,fatra,a~,fatra
amarika,marika,a~,marika
atavana,tavana,a~,tavana
afatratra,fatratra,a~,fatratra
ambomba,mbomba,a~,mbomba
atavo,tavo,a~,tavo
